"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3253","Login Test Case with valid user","webkit","2026-09-04","passed","2026-09-04","Login","tests\login.spec.js","",""
"","5531","Login Test Case with valid user","firefox","2026-09-04","passed","2026-09-04","Login","tests\login.spec.js","",""
"","2072","Smoke Test - Complete End to End Flow","firefox","2026-09-04","failed","2026-09-04","","SmokeTest\smoketest.spec.js","",""
"","762","4 - Update Account","firefox","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","709","10 - Delete Account","webkit","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","1797","TC03 - Invalid Password","firefox","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
"","1450","1 - Register User","chromium","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","939","TC02 - Invalid Username","chromium","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
"","894","has title","webkit","2026-09-04","passed","2026-09-04","","tests\example.spec.js","",""
"","1584","Login Test Case using Invalid Credentials","webkit","2026-08-24","passed","2026-08-24","","tests\login.spec.js","",""
"","902","get started link","chromium","2026-09-04","passed","2026-09-04","","tests\example.spec.js","",""
"","765","Logout Test Case","webkit","2026-09-04","failed","2026-09-04","","tests\logout.spec.js","",""
"","1537","TC01 - Valid Login","webkit","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
"","520","6 - Get User By Username","chromium","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","1192","2 - Login User","firefox","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","313","Verify Home Products Page","chromium","2026-09-04","failed","2026-09-04","","tests\HomePage.spec.js","",""
"","354","Add Two Products to Cart","chromium","2026-09-04","failed","2026-09-04","","tests\AddtoCart.spec.js","",""
"","524","6 - Get User By Username","webkit","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","727","TC04 - Invalid Username and Password","chromium","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
"","701","9 - Logout User","webkit","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","10","10 - Logout User","chromium","2026-09-02","skipped","2026-09-02","Users API Automation","tests\api.spec.js","",""
"","700","4 - Update Account","chromium","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","2681","Verify Home Products Page","firefox","2026-09-04","failed","2026-09-04","","tests\HomePage.spec.js","",""
"","733","4 - Update Account","webkit","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","1213","TC05 - Empty Username and Password","firefox","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
"","718","10 - Delete Account","firefox","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","701","9 - Logout User","chromium","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","1103","Add Two Products to Cart","webkit","2026-09-04","failed","2026-09-04","","tests\AddtoCart.spec.js","",""
"","2614","Logout Test Case","firefox","2026-09-04","failed","2026-09-04","","tests\logout.spec.js","",""
"","1191","1 - Register User","firefox","2026-09-04","passed","2026-09-04","Users API Automation","tests\api.spec.js","",""
"","911","TC01 - Valid Login","chromium","2026-09-04","passed","2026-09-04","","tests\LoginTestCases.spec.js","",""
